i,D.I.,A.Y.,I.COV,S,B.R.,S.R.,T.S.,MaxP.($),MinP.($),MedP.($),MeanP.($),P.SD,M.P.SD,MeanPCF,PCFSD,M.PCFSD,Mean P.F.,M.P.FSD
70,PDSI,2018,0.211563593,0.7,69,29,,291.1406608,0,0,0.118339879,4.96274258,,0.003757317,0.013962746,,0.008600528,
71,PDSI,2018,0.211563593,0.75,69,29,,357.7212127,0,0,0.163612535,6.465289995,,0.006930203,0.018928436,,0.010562052,
72,PDSI,2018,0.211563593,0.8,69,29,,467.4919216,0,0,0.220652534,8.221548698,,0.011717286,0.02460936,,0.013428895,
73,PDSI,2018,0.211563593,0.85,69,29,,584.7399423,0,0,0.291958999,10.19601093,,0.018886235,0.032148045,,0.017578272,
74,PDSI,2018,0.211563593,0.9,69,29,,714.2069602,0,0,0.387429975,12.41301795,,0.029321853,0.042030988,,0.024141833,
75,PDSI,2018,0.211563593,0.7,69,9,,291.1406608,0,0,0.118339879,4.96274258,,0.003757317,0.013962746,,0.008600528,
76,PDSI,2018,0.211563593,0.75,69,9,,357.7212127,0,0,0.163612535,6.465289995,,0.006930203,0.018928436,,0.010562052,
77,PDSI,2018,0.211563593,0.8,69,9,,467.4919216,0,0,0.220652534,8.221548698,,0.011717286,0.02460936,,0.013428895,
78,PDSI,2018,0.211563593,0.85,69,9,,584.7399423,0,0,0.291958999,10.19601093,,0.018886235,0.032148045,,0.017578272,
79,PDSI,2018,0.211563593,0.9,69,9,,714.2069602,0,0,0.387429975,12.41301795,,0.029321853,0.042030988,,0.024141833,
80,PDSIsc,2017,0.234695829,0.7,69,69,,53.61287781,0,0,0.106107619,1.455163996,,0.008367902,0.007481915,,0.079517163,
81,PDSIsc,2017,0.234695829,0.75,69,69,,67.24407288,0,0,0.176940196,1.970016823,,0.014485744,0.011441843,,0.126744625,
82,PDSIsc,2017,0.234695829,0.8,69,69,,90.77516095,0,0,0.287581561,2.620782323,,0.023838084,0.017734487,,0.200452659,
83,PDSIsc,2017,0.234695829,0.85,69,69,,113.9436874,0,0,0.454243279,3.414354328,,0.037173957,0.026272227,,0.301848359,
84,PDSIsc,2017,0.234695829,0.9,69,69,,137.779139,0,0,0.696926538,4.371082167,,0.055511112,0.03668404,,0.453941909,
85,PDSIsc,2017,0.234695829,0.7,69,49,,76.87512397,0,0,0.101562555,1.701098009,,0.008039899,0.010049172,,0.068049793,
86,PDSIsc,2017,0.234695829,0.75,69,49,,99.31278576,0,0,0.164885034,2.255223418,,0.013682753,0.014842752,,0.108864579,
87,PDSIsc,2017,0.234695829,0.8,69,49,,132.4842787,0,0,0.262416213,2.93625655,,0.022152534,0.021700464,,0.167634855,
88,PDSIsc,2017,0.234695829,0.85,69,49,,165.4231531,0,0,0.409770168,3.749369115,,0.03431417,0.030514739,,0.255299887,
89,PDSIsc,2017,0.234695829,0.9,69,49,,199.2827131,0,0,0.627587789,4.729193273,,0.051225641,0.04088396,,0.377593361,
90,PDSIsc,2017,0.234695829,0.7,69,29,,142.9474673,0,0,0.20243636,3.134279761,,0.016575035,0.021380886,,0.084873633,
91,PDSIsc,2017,0.234695829,0.75,69,29,,198.7233152,0,0,0.327587301,4.177182731,,0.027378977,0.031096017,,0.134288948,
92,PDSIsc,2017,0.234695829,0.8,69,29,,254.6299893,0,0,0.515154862,5.428933221,,0.042748341,0.043234554,,0.203772161,
93,PDSIsc,2017,0.234695829,0.85,69,29,,312.5369764,0,0,0.792930448,6.937755991,,0.063386554,0.056381558,,0.307129385,
94,PDSIsc,2017,0.234695829,0.9,69,29,,377.5060369,0,0,1.194997624,8.809987886,,0.089454003,0.0688367,,0.448585439,
95,PDSIsc,2017,0.234695829,0.7,69,9,,487.4037824,0,0,0.843920775,10.65992381,,0.03696943,0.053230742,,0.12546209,
96,PDSIsc,2017,0.234695829,0.75,69,9,,568.2116379,0,0,1.364823179,14.01659757,,0.054716514,0.069923342,,0.19532252,
97,PDSIsc,2017,0.234695829,0.8,69,9,,653.9408847,0,0,2.153992167,18.22729911,,0.077200377,0.086333002,,0.291135421,
98,PDSIsc,2017,0.234695829,0.85,69,9,,751.9605201,0,0,3.289379563,23.41506249,,0.104482523,0.101742636,,0.413730668,
99,PDSIsc,2017,0.234695829,0.9,69,9,,872.0610864,0,0,4.834320308,29.66641084,,0.13489348,0.115485881,,0.559185213,
100,PDSIsc,2018,0.234695829,0.7,69,69,,362.6857448,0,0,0.858724399,8.90137928,,0.03696943,0.053230742,,0.12546209,
101,PDSIsc,2018,0.234695829,0.75,69,69,,422.8162943,0,0,1.424904427,12.04172514,,0.054716514,0.069923342,,0.19532252,
102,PDSIsc,2018,0.234695829,0.8,69,69,,486.6089378,0,0,2.281772363,16.04436174,,0.077200377,0.086333002,,0.291135421,
103,PDSIsc,2018,0.234695829,0.85,69,69,,559.547076,0,0,3.497330072,20.99936288,,0.104482523,0.101742636,,0.413730668,
104,PDSIsc,2018,0.234695829,0.9,69,69,,648.9160242,0,0,5.118712383,26.9730002,,0.13489348,0.115485881,,0.559185213,
